action,appPackage,category,contactSignificantContext,numberUpdates,p1,p2,p3,p4,p5,p6,posted,postedDayOfWeek,postedTimeOfDay,priority,removed,response,subject
1,com.whatsapp,unknown,True,1,2.2793388,-0.7560756,-0.6789683000000001,0.89573264,-0.11235875,0.87001324,1530430000000.0,Fri,morn,1,1530430000000.0,medium,unknown
1,com.whatsapp,msg,True,17,1.7668613000000002,-0.66822845,0.07205526,0.1513161,0.03792953,1.1496261,1530430000000.0,Fri,morn,1,1530430000000.0,medium,unknown
1,com.whatsapp,msg,False,10,1.3481864,0.73460513,0.77441,0.21831428,0.5205428,0.7095514,1530430000000.0,Fri,morn,0,1530430000000.0,medium,unknown
1,com.whatsapp,unknown,False,12,0.056745157000000004,0.50446004,-0.50031036,0.14425278,0.5415525999999999,0.45065504,1530430000000.0,Fri,morn,0,1530430000000.0,medium,unknown
1,com.whatsapp,unknown,True,3,1.4237084,-0.28963706,-0.27753323,0.5736465000000001,0.03859931,-0.42162659999999996,1530430000000.0,Fri,morn,1,1530430000000.0,medium,unknown
1,com.google.android.googlequicksearchbox,unknown,False,0,0.072424784,0.8198476999999998,0.37210977,-1.0063155000000001,0.28814593,1.8940699,1530430000000.0,Fri,morn,0,1530430000000.0,medium,unknown
1,com.whatsapp,unknown,False,2,0.95415574,0.35246995,-0.06168074,0.19359718,0.28973162,0.08972141,1530430000000.0,Fri,morn,0,1530430000000.0,medium,unknown
0,com.google.android.apps.maps,msg,False,17,0.06658188,1.8420236,1.2061373,0.4913467000000001,1.1747738,-0.042567155999999995,1530430000000.0,Fri,morn,-2,1530440000000.0,long,unknown
1,com.google.android.googlequicksearchbox,unknown,True,4,0.2299497000000001,0.43140757,0.1858437,-1.0455658,0.18356636,1.0013602,1530430000000.0,Fri,morn,0,1530430000000.0,short,unknown
1,com.whatsapp,msg,True,20,0.33113348,1.0637281,-0.7543681,-0.20222749,1.0064214,1.1087924999999998,1530430000000.0,Fri,morn,1,1530430000000.0,medium,unknown
1,com.whatsapp,msg,False,9,-0.15096462,1.0310315,1.2794913,0.27894926,1.9117179,-0.26677948,1530430000000.0,Fri,morn,1,1530440000000.0,long,unknown
1,com.whatsapp,msg,True,13,0.18253675,0.31179145,0.008423477,0.39921337,1.0297606,0.21476173,1530430000000.0,Fri,morn,1,1530430000000.0,medium,unknown
1,com.whatsapp,unknown,True,7,1.2762698000000001,-0.70116353,-0.90616786,1.2269758999999998,-0.16194943,-0.36308959999999996,1530430000000.0,Fri,morn,0,1530430000000.0,medium,unknown
1,com.whatsapp,msg,True,5,2.0419152,0.21167719999999998,0.34589735,0.8552780000000001,0.5276341,1.0487647,1530430000000.0,Fri,morn,1,1530430000000.0,medium,unknown
1,com.whatsapp,msg,False,9,0.7079928000000001,1.1200736999999998,0.6873979,1.2108914,0.36934313,-0.18970665,1530430000000.0,Fri,morn,1,1530440000000.0,long,unknown
1,com.whatsapp,unknown,False,16,1.0292552,-0.66849864,-1.7540565,0.62771165,0.54768103,0.42472583,1530440000000.0,Fri,morn,0,1530440000000.0,medium,unknown
1,com.whatsapp,unknown,True,8,-0.19891068,-0.6248769000000001,-0.91617304,0.57803583,-0.008360105,0.52255857,1530440000000.0,Fri,morn,0,1530440000000.0,medium,unknown
1,com.whatsapp,msg,True,19,-0.27902475,1.3295963,-0.34807605,-0.27201748,1.2477207000000001,-0.81958616,1530440000000.0,Fri,morn,0,1530440000000.0,medium,unknown
1,com.whatsapp,unknown,True,7,-1.0855045,-0.07518261,-1.416136,-0.018226821,1.1807393,1.2734076,1530440000000.0,Fri,morn,0,1530440000000.0,medium,unknown
1,com.google.android.googlequicksearchbox,msg,True,8,0.5282226999999999,0.65522605,0.28119203,-0.1345254,0.5194372,1.5745008999999999,1530440000000.0,Fri,morn,1,1530440000000.0,medium,unknown
0,com.google.android.googlequicksearchbox,unknown,False,7,0.894892,-0.10828335,0.35554016,-0.34951785,-0.2710363,0.8786238000000001,1530440000000.0,Fri,morn,0,1530440000000.0,medium,unknown
0,com.facebook.orca,msg,False,16,0.6110783000000001,0.63087183,0.5438185999999999,0.64225984,0.28812605,-0.43432498,1530440000000.0,Fri,morn,-2,1530440000000.0,long,unknown
1,com.whatsapp,unknown,False,24,-0.096106775,1.8051453000000002,0.98225987,0.05723258,-0.36094663,-0.14822127,1530440000000.0,Fri,morn,0,1530440000000.0,short,unknown
1,com.whatsapp,msg,False,7,0.1271363,1.9235855,0.98025656,1.0531205,1.124082,-0.49529555,1530440000000.0,Fri,morn,1,1530440000000.0,long,unknown
1,com.whatsapp,msg,True,7,1.2100548,0.05685151400000001,-0.49006194,0.15712142,0.43933406,1.6563456,1530440000000.0,Fri,morn,1,1530440000000.0,medium,unknown
1,com.whatsapp,unknown,False,12,-0.7106197,0.12049282,-1.1012015,-0.01767769,0.64198583,0.52951646,1530440000000.0,Fri,morn,0,1530440000000.0,medium,unknown
1,com.whatsapp,msg,True,9,-0.18099467,-0.05972398,-1.1941992000000001,0.8322280999999999,0.6498050999999999,0.9626802999999999,1530440000000.0,Fri,morn,1,1530440000000.0,medium,unknown
1,com.whatsapp,unknown,True,4,-0.2877243,0.9803265999999999,-0.22411424,0.50927526,1.0646803,-0.8192174000000001,1530440000000.0,Fri,morn,0,1530440000000.0,medium,unknown
1,com.whatsapp,unknown,False,11,1.0781326,-0.25061452,-0.98500997,0.60968053,0.44639492,0.47233358,1530440000000.0,Fri,morn,0,1530440000000.0,medium,unknown
1,com.Slack,unknown,True,3,-0.7553594,1.7720785,0.55091083,-0.7427085,0.408548,0.60810333,1530440000000.0,Fri,morn,0,1530440000000.0,medium,unknown
1,com.snapchat.android,msg,True,10,0.4880782,1.6438026000000001,0.5415475000000001,-0.5488274999999999,1.2668276000000005,1.8083636000000003,1530440000000.0,Fri,morn,1,1530440000000.0,medium,unknown
0,com.google.android.apps.maps,msg,False,18,0.46800917,0.7655319,0.3917262,0.63751584,0.6706876,0.67390996,1530440000000.0,Fri,morn,-2,1530440000000.0,immediate,unknown
1,com.Slack,unknown,True,10,1.174691,0.43652686,-0.29139686,-0.17068271,0.04814772,1.4888926000000002,1530450000000.0,Fri,morn,0,1530450000000.0,medium,unknown
1,com.whatsapp,unknown,False,15,-0.92273134,0.5792185000000001,-0.8148241999999999,0.24998681,0.67650807,1.4389834,1530450000000.0,Fri,morn,0,1530450000000.0,medium,unknown
0,com.bskyb.sportnews,unknown,False,4,-1.2654074,2.4299102,0.9911566999999999,-0.30587309999999995,-0.23767653,-0.21615109,1530450000000.0,Fri,afternoon,0,1530460000000.0,long,unknown
1,com.whatsapp,unknown,False,4,-1.0081966,1.2220358999999998,0.53539896,-0.35731694,0.22152999,-0.17416412,1530460000000.0,Fri,afternoon,0,1530460000000.0,short,unknown
1,com.whatsapp,msg,True,13,0.19853777,0.98299617,0.21755570000000002,0.66377854,1.1721716999999998,-0.12899323,1530460000000.0,Fri,afternoon,1,1530460000000.0,medium,unknown
1,com.whatsapp,unknown,False,18,-0.5878656,1.4205965,0.05108673,-0.17277071,-0.39507177,-0.10902613400000001,1530460000000.0,Fri,afternoon,0,1530470000000.0,medium,unknown
0,com.whatsapp,unknown,False,5,0.014861661000000003,1.5943382,0.13838115,0.30867907,0.2911105,0.31741744,1530460000000.0,Fri,evening,-1,1530460000000.0,short,unknown
1,com.Slack,unknown,False,10,0.45139465,0.42322776,-0.6851316999999999,-0.37024897,0.54030806,1.587756,1530470000000.0,Fri,evening,0,1530470000000.0,medium,unknown
1,com.whatsapp,unknown,False,11,0.15336815,0.08527586599999999,-0.23984504,0.041509267,-0.32953718,1.2894456,1530470000000.0,Fri,evening,0,1530470000000.0,medium,unknown
1,com.Slack,unknown,True,3,-0.058477472999999995,0.51656675,-0.23183575,-0.55790496,0.45803207,0.68049717,1530470000000.0,Fri,evening,1,1530470000000.0,short,unknown
1,com.whatsapp,unknown,False,4,-0.12746853,1.1953906,-0.7919512,0.09001082,0.4530382000000001,-0.7180488,1530470000000.0,Fri,evening,0,1530470000000.0,medium,unknown
1,com.whatsapp,unknown,False,2,-0.43447277,0.3973075,-0.5097824000000001,-0.37789294,0.300448,0.4081845,1530470000000.0,Fri,evening,0,1530470000000.0,short,unknown
1,com.whatsapp,msg,True,3,-0.45628104,0.76978743,-0.9211152,0.08874127,0.8272785,1.3145065,1530470000000.0,Fri,evening,1,1530470000000.0,medium,unknown
1,com.whatsapp,unknown,False,15,1.2469244,0.11113236,-1.3952732,0.76838875,0.3078494,2.5137668,1530470000000.0,Fri,evening,0,1530470000000.0,medium,unknown
1,com.whatsapp,unknown,False,9,0.11842158400000001,2.1634919999999997,0.61274034,-0.16184215,-0.77790874,-0.80366635,1530470000000.0,Fri,evening,0,1530470000000.0,short,unknown
1,com.whatsapp,unknown,False,10,-0.26043594,2.051466,-0.0785239,0.22313763,0.34526297,-0.10841326400000001,1530470000000.0,Fri,evening,0,1530470000000.0,long,unknown
0,com.google.android.googlequicksearchbox,unknown,False,1,-0.49566156,0.8865458,0.622907,-1.1790439,-0.45016876,1.0639083,1530470000000.0,Fri,evening,0,1530470000000.0,medium,unknown
1,com.whatsapp,msg,False,17,-0.06083018,2.0624597,0.52191687,0.110563874,0.9489309000000001,-0.27278098,1530470000000.0,Fri,evening,1,1530480000000.0,long,unknown
1,com.Slack,unknown,True,1,0.29680650000000003,0.8753411,0.84662074,-0.4487793,0.1502476,0.25483906,1530470000000.0,Fri,evening,1,1530470000000.0,medium,unknown
1,com.whatsapp,unknown,True,2,-1.2211801000000002,1.9334358,0.33674702,-0.42901143,0.37549788,-1.2228926000000002,1530480000000.0,Fri,evening,1,1530480000000.0,short,unknown
1,com.whatsapp,unknown,False,15,0.2752171,1.979275,-0.29670906,0.15997165,0.94779295,1.4286511,1530480000000.0,Fri,evening,0,1530480000000.0,medium,unknown
